record_id,month,day,year,plot_id,species_id,sex,hindfoot_length,weight,genus,species,taxa,plot_type
21308,12,15,1993,14,DX,NA,NA,NA,Dipodomys,sp.,Rodent,Control
31066,7,2,2000,14,DX,NA,NA,NA,Dipodomys,sp.,Rodent,Control
9828,1,19,1985,14,AB,NA,NA,NA,Amphispiza,bilineata,Bird,Control
11487,5,10,1986,14,AB,NA,NA,NA,Amphispiza,bilineata,Bird,Control
12387,3,1,1987,14,AB,NA,NA,NA,Amphispiza,bilineata,Bird,Control
14106,2,22,1988,14,AB,NA,NA,NA,Amphispiza,bilineata,Bird,Control
15386,1,11,1989,14,AB,NA,NA,NA,Amphispiza,bilineata,Bird,Control
15429,1,11,1989,14,AB,NA,NA,NA,Amphispiza,bilineata,Bird,Control
21370,2,3,1994,14,AB,NA,NA,NA,Amphispiza,bilineata,Bird,Control
21697,7,9,1994,14,AB,NA,NA,NA,Amphispiza,bilineata,Bird,Control
14845,8,10,1988,14,CB,NA,NA,NA,Campylorhynchus,brunneicapillus,Bird,Control
15252,12,14,1988,14,CB,NA,NA,NA,Campylorhynchus,brunneicapillus,Bird,Control
21143,9,17,1993,14,CB,NA,NA,NA,Campylorhynchus,brunneicapillus,Bird,Control
26155,6,11,1997,14,CB,NA,NA,NA,Campylorhynchus,brunneicapillus,Bird,Control
28160,6,28,1998,14,CB,NA,NA,NA,Campylorhynchus,brunneicapillus,Bird,Control
32785,9,23,2001,14,CB,NA,NA,NA,Campylorhynchus,brunneicapillus,Bird,Control
6567,9,18,1982,14,PC,NA,NA,NA,Pipilo,chlorurus,Bird,Control
17211,2,25,1990,14,PC,NA,NA,NA,Pipilo,chlorurus,Bird,Control
15300,12,14,1988,14,PG,NA,NA,NA,Pooecetes,gramineus,Bird,Control
9476,8,25,1984,14,PH,M,27,31,Perognathus,hispidus,Rodent,Control
26196,6,11,1997,14,PB,F,25,25,Chaetodipus,baileyi,Rodent,Control
31068,7,2,2000,14,PB,M,24,24,Chaetodipus,baileyi,Rodent,Control
32345,7,22,2001,14,PB,M,24,14,Chaetodipus,baileyi,Rodent,Control
32569,8,26,2001,14,PB,M,28,29,Chaetodipus,baileyi,Rodent,Control
25134,2,9,1997,14,PL,M,21,23,Peromyscus,leucopus,Rodent,Control
465,12,11,1977,5,NL,NA,NA,NA,Neotoma,albigula,Rodent,Rodent Exclosure
875,5,17,1978,5,NL,F,33,212,Neotoma,albigula,Rodent,Rodent Exclosure
2346,1,16,1980,5,NL,M,35,239,Neotoma,albigula,Rodent,Rodent Exclosure
3032,5,25,1980,5,NL,F,NA,135,Neotoma,albigula,Rodent,Rodent Exclosure
4837,9,30,1981,5,NL,F,32,185,Neotoma,albigula,Rodent,Rodent Exclosure
5024,11,23,1981,5,NL,F,33,186,Neotoma,albigula,Rodent,Rodent Exclosure
5161,1,1,1982,5,NL,F,33,193,Neotoma,albigula,Rodent,Rodent Exclosure
5276,1,25,1982,5,NL,F,32,194,Neotoma,albigula,Rodent,Rodent Exclosure
5400,2,23,1982,5,NL,F,32,248,Neotoma,albigula,Rodent,Rodent Exclosure
5458,2,23,1982,5,NL,M,34,235,Neotoma,albigula,Rodent,Rodent Exclosure
5607,3,30,1982,5,NL,F,32,190,Neotoma,albigula,Rodent,Rodent Exclosure
5768,4,29,1982,5,NL,F,29,106,Neotoma,albigula,Rodent,Rodent Exclosure
5771,4,29,1982,5,NL,F,32,203,Neotoma,albigula,Rodent,Rodent Exclosure
5922,5,22,1982,5,NL,F,33,210,Neotoma,albigula,Rodent,Rodent Exclosure
5930,5,22,1982,5,NL,F,33,205,Neotoma,albigula,Rodent,Rodent Exclosure
6171,7,25,1982,5,NL,F,NA,195,Neotoma,albigula,Rodent,Rodent Exclosure
6436,8,16,1982,5,NL,NA,NA,202,Neotoma,albigula,Rodent,Rodent Exclosure
6543,9,18,1982,5,NL,F,32,213,Neotoma,albigula,Rodent,Rodent Exclosure
6664,10,23,1982,5,NL,F,32,205,Neotoma,albigula,Rodent,Rodent Exclosure
7059,11,22,1982,5,NL,F,30,176,Neotoma,albigula,Rodent,Rodent Exclosure
8484,10,16,1983,5,NL,M,33,184,Neotoma,albigula,Rodent,Rodent Exclosure
9448,8,1,1984,5,NL,F,31,160,Neotoma,albigula,Rodent,Rodent Exclosure
12968,7,1,1987,5,NL,F,32,171,Neotoma,albigula,Rodent,Rodent Exclosure
14165,2,22,1988,5,NL,F,34,190,Neotoma,albigula,Rodent,Rodent Exclosure
